#{"t_start": 1709072142.2623208, "env_id": "None"}
r,l,t
-10054.936,5,44.755605
-10038.733,7,44.857594
-10034.768,6,44.943593
-10018.67,4,45.003594
-10084.078,7,45.106605
-10000.0,1,45.123593
-10035.164,3,45.166594
-10000.0,1,45.180594
-10006.751,3,45.223594
-10060.444,6,45.308593
-10052.763,4,45.365593
-10052.921,8,45.475597
-10000.0,1,45.489596
-10007.695,3,45.539629
-10047.98,5,45.609652
-10019.769,2,45.639593
-10042.649,4,45.696594
-10083.077,7,45.794593
-10014.864,2,45.820601
-10029.259,6,45.900593
-10045.438,5,45.968594
-10032.817,6,46.052593
-10052.695,7,46.147595
-10068.064,7,46.240593
-10014.972,2,46.266593
-10056.031,4,46.322593
-10031.98,4,46.376593
-10087.968,8,46.481594
-10037.634,7,46.574595
-10021.731,2,46.602594
-10056.389,9,46.727594
-10049.024,6,46.808593
-10046.95,5,46.875593
-10043.886,3,46.917594
-10000.0,1,46.931593
-10022.508,4,46.990593
-10069.202,8,47.099608
-10036.175,6,47.181593
-10025.386,3,47.219593
-10073.401,9,47.343596
-10065.621,6,47.434594
-10019.916,2,47.465596
-10060.815,7,47.570594
-10000.0,1,47.585593
-10050.5,6,47.674593
-10076.162,8,47.795593
-10078.895,10,47.947598
-10045.428,8,48.074599
-10066.435,8,48.190596
-10023.561,6,48.280596
-10053.939,9,48.417597
-10070.604,8,48.533596
-10053.985,4,48.595594
-10038.681,4,48.650594
-10043.87,4,48.704594
-10047.004,6,48.785594
-10037.861,3,48.829599
-10067.439,5,48.897594
-10048.791,7,48.9906
-10034.173,7,49.091594
-10035.88,4,49.151593
-10026.938,3,49.193593
-10057.307,9,49.323605
-10023.998,5,49.396593
-10025.68,9,49.518594
-10019.178,2,49.548594
-10086.179,9,49.683594
-10034.9375,3,49.724593
-10033.001,8,49.839605
-10011.549,6,49.923593
-10058.895,8,50.039593
-10045.642,8,50.150594
-10019.223,2,50.179606
-10049.956,4,50.237593
-10015.924,2,50.267611
-10034.429,3,50.314605
-10062.356,7,50.414605
-10034.601,3,50.456593
-10078.758,8,50.570593
-10021.698,5,50.641605
-10058.262,7,50.741593
-10015.527,2,50.768594
-10116.303,11,50.918671
-10059.26,9,51.055594
-10064.194,7,51.160594
-10050.974,11,51.325594
-10004.942,2,51.357595
-10040.506,6,51.450593
-10040.69,7,51.552594
-10062.608,5,51.630594
-10015.888,7,51.734594
-10053.441,7,51.836594
-10034.391,4,51.898593
-10048.817,5,51.972596
-10032.714,7,52.094594
-10139.295,15,52.326606
-10044.823,8,52.440594
-10036.816,10,52.602594
-10032.48,10,52.748594
-10107.023,10,52.884593
-10050.114,5,52.952594
-10024.201,5,53.030593
-10030.395,8,53.138593
-10055.605,8,53.246593
-10045.49,6,53.326594
-10000.0,1,53.345594
-10043.095,4,53.396594
-10000.0,1,53.409594
-10044.062,6,53.489595
-10051.938,4,53.543594
-10000.0,1,53.556597
-10073.612,7,53.652593
-10000.0,1,53.664593
-10023.763,7,53.760593
-10043.577,8,53.870593
-10013.964,2,53.896593
-10052.556,8,54.006594
-10052.85,8,54.114594
-10022.349,7,54.207594
-10039.199,7,54.301594
-10020.246,8,54.4066
-10040.704,3,54.449605
-10020.551,2,54.481593
-10098.011,9,54.608593
-10044.261,4,54.663594
-10071.417,7,54.765594
-10069.092,10,54.904593
-10070.505,8,55.026593
-10026.348,6,55.110605
-10000.0,1,55.128594
-10048.091,7,55.224593
-10020.566,5,55.297593
-10037.646,4,55.352593
-10035.243,7,55.454594
-10019.786,2,55.482594
-10046.122,7,55.580593
-10051.947,8,55.696605
-10075.683,8,55.816593
-10037.338,6,55.898593
-10063.468,8,56.017595
-10035.024,7,56.123593
-10027.187,3,56.164593
-10023.436,2,56.189594
-10096.828,9,56.306593
-10048.873,7,56.400593
-10037.167,3,56.443594
-10054.997,5,56.509595
-10041.614,6,56.592594
-10000.0,1,56.605593
-10055.602,6,56.688593
-10046.706,5,56.757594
-10035.311,7,56.847594
-10071.7705,7,56.939594
-10052.591,7,57.046596
-10000.0,1,57.061598
-10024.157,5,57.140594
-10028.614,6,57.230593
-10080.489,7,57.336607
-10010.9795,2,57.364593
-10027.129,9,57.500595
-10058.419,5,57.575593
-10032.649,8,57.697596
-10018.431,3,57.745598
-10019.794,8,57.863606
-10080.181,9,57.999594
-10041.597,8,58.120593
-10050.372,8,58.231594
-10016.286,6,58.312593
-10069.066,8,58.418594
-10030.75,3,58.458594
-10047.948,4,58.515594
-10066.456,8,58.623593
-10013.774,5,58.689593
-10059.479,5,58.7586
-10070.236,7,58.852594
-10038.711,6,58.932594
-10014.011,2,58.960593
-10025.501,4,59.017593
-10026.038,6,59.101594
-10023.798,5,59.168593
-10039.975,6,59.249593
-10019.3545,5,59.317595
-10040.49,8,59.421593
-10073.555,9,59.541594
-10014.996,5,59.611594
-10028.656,3,59.654594
-10036.101,7,59.749593
-10036.518,8,59.866604
-10015.643,5,59.934603
-10035.372,4,59.992594
-10049.29,7,60.095594
-10031.552,7,60.192594
-10037.591,5,60.268594
-10000.0,1,60.282599
-10053.074,7,60.385593
-10056.031,8,60.500593
-10033.359,8,60.610594
-10057.907,8,60.724594
-10048.126,6,60.809593
-10055.603,5,60.877594
-10000.0,1,60.889593
-10061.445,8,61.003594
-10008.669,2,61.033595
-10029.898,6,61.121604
-10072.174,7,61.223605
-10047.046,7,61.323593
-10043.2,8,61.438594
-10020.033,5,61.504594
-10060.916,7,61.612594
-10034.157,7,61.715593
-10030.531,4,61.772593
-10043.55,7,61.863593
-10013.306,5,61.931594
-10053.872,7,62.036593
-10008.161,5,62.111593
-10031.099,7,62.207594
-10051.045,6,62.292593
-10026.1045,3,62.335594
-10032.686,5,62.403594
-10041.276,7,62.497593
-10027.755,8,62.608599
-10076.752,6,62.688593
-10076.129,8,62.796598
-10055.193,7,62.891593
-10000.0,1,62.904593
-10037.422,8,63.016593
-10026.161,5,63.087593
-10041.617,6,63.163593
-10000.0,1,63.177593
-10000.0,1,63.192593
-10017.505,2,63.218593
-10022.846,4,63.275593
-10069.942,6,63.355594
-10033.146,6,63.436609
-10013.725,4,63.489605
-10029.444,5,63.555594
-10031.541,3,63.594594
-10021.596,2,63.625593
-10058.798,8,63.730593
-10036.303,8,63.838593
-10015.74,2,63.864594
-10037.796,8,63.975594
-10000.0,1,63.989594
-10005.624,3,64.032594
-10029.122,6,64.118596
-10028.991,7,64.221593
-10039.95,7,64.324594
-10022.356,7,64.420593
-10029.86,6,64.500594
-10045.397,4,64.557594
-10038.681,7,64.646594
-10027.989,3,64.685594
-10031.617,9,64.803593
-10058.689,7,64.898593
-10007.701,2,64.924596
-10034.77,8,65.03161
-10078.664,8,65.146593
-10023.242,7,65.239594
-10035.06,4,65.292595
-10022.236,6,65.375594
-10057.037,6,65.457593
-10024.617,4,65.514593
-10022.75,6,65.5956
-10023.129,4,65.647593
-10043.84,9,65.764594
-10057.498,6,65.847594
-10037.536,5,65.914593
-10062.876,8,66.016593
-10065.328,8,66.127593
-10047.454,6,66.213605
-10019.087,2,66.243593
-10031.329,4,66.298594
-10052.715,4,66.361593
-10029.998,4,66.419594
-10037.953,6,66.503593
-10035.788,9,66.632594
-10043.51,8,66.743593
-10047.827,7,66.843594
-10048.012,7,66.940594
-10042.501,8,67.067594
-10029.534,3,67.111593
-10033.736,7,67.223605
-10037.334,4,67.282611
-10000.0,1,67.299595
-10052.193,6,67.390595
-10054.081,9,67.528605
-10000.0,1,67.545604
-10044.714,6,67.637594
-10036.909,3,67.686594
-10000.0,1,67.705594
-10082.796,8,67.834594
-10043.426,8,67.966596
-10052.811,9,68.116594
-10020.791,5,68.193594
-10064.299,7,68.298594
-10043.868,6,68.383593
-10044.209,5,68.457602
-10036.152,7,68.564611
-10055.224,6,68.664593
-10055.279,7,68.769593
-10036.099,7,68.875593
-10045.389,8,68.999594
-10028.384,5,69.077595
-10040.988,5,69.152597
-10041.012,4,69.213597
-10051.178,6,69.310594
-10029.281,5,69.385593
-10056.22,6,69.473593
-10049.773,7,69.576594
-10028.351,6,69.667594
-10031.503,7,69.760594
-10027.392,3,69.798594
-10044.646,7,69.891593
-10060.272,6,69.974594
-10071.604,7,70.070593
-10057.149,6,70.148593
-10053.997,9,70.270594
-10021.684,2,70.300594
-10027.062,4,70.355593
-10042.179,3,70.395593
-10057.024,7,70.490604
-10040.504,6,70.572593
-10024.097,6,70.653593
-10066.167,10,70.7846
-10000.0,1,70.799594
-10022.929,4,70.856594
-10051.236,8,70.965593
-10046.494,7,71.058594
-10033.42,6,71.142594
-10022.725,4,71.196593
-10040.142,5,71.262594
-10054.265,5,71.328594
-10061.889,8,71.432594
-10029.714,5,71.505594
-10011.41,3,71.548594
-10047.733,6,71.630594
-10047.961,7,71.729594
-10039.245,6,71.810594
-10000.0,1,71.823593
-10018.893,4,71.878593
-10050.481,7,71.977594
-10035.724,4,72.036608
-10074.107,8,72.153592
-10009.52,2,72.183594
-10049.03,8,72.299605
-10022.205,3,72.341593
-10006.324,3,72.384604
-10047.513,8,72.497593
-10065.662,6,72.582597
-10034.937,6,72.668593
-10011.239,4,72.727593
-10022.007,2,72.754593
